name,cases,deaths,recovered,tests
USA,"1,484,285","88,507","327,751","11,090,900"
Spain,"274,367","27,459","188,967","2,467,761"
Russia,"272,043","2,537","63,166","6,600,000"
UK,"236,711","33,998",0,"2,353,078"
Italy,"223,885","31,610","120,205","2,875,680"
Brazil,"220,291","14,962","84,970","735,224"
France,"179,506","27,529","60,448","1,384,633"
Germany,"175,699","8,001","152,600","3,147,771"
Turkey,"146,457","4,055","106,133","1,547,389"
Iran,"116,635","6,902","91,836","658,604"
India,"85,940","2,753","30,258","2,134,277"
Peru,"84,495","2,392","27,147","605,383"
China,"82,941","4,633","78,219",0
Canada,"74,613","5,562","36,895","1,225,049"
Belgium,"54,644","8,959","14,301","645,314"
Saudi Arabia,"49,176",292,"21,869","530,265"
Mexico,"45,032","4,767","30,451","163,691"
Netherlands,"43,681","5,643",0,"287,943"
Chile,"39,542",394,"16,614","341,347"
Pakistan,"38,799",834,"10,880","359,264"
Ecuador,"31,467","2,594","3,433","89,817"
Switzerland,"30,514","1,878","27,100","334,274"
Qatar,"29,425",14,"3,546","148,173"
Sweden,"29,207","3,646","4,971","177,500"
Portugal,"28,583","1,190","3,328","600,061"
Belarus,"27,730",156,"8,807","321,705"
Singapore,"27,356",21,"7,248","224,262"
Ireland,"23,956","1,518","19,470","258,808"
UAE,"21,831",210,"7,328","1,560,923"
Bangladesh,"20,065",298,"3,882","160,512"
Poland,"18,184",912,"7,175","576,276"
Ukraine,"17,858",497,"4,906","220,638"
Israel,"16,589",266,"12,587","485,922"
Indonesia,"16,496","1,076","3,803","178,602"
Romania,"16,437","1,070","9,370","294,601"
Japan,"16,203",713,"10,338","233,144"
Austria,"16,201",629,"14,524","351,351"
Colombia,"14,216",546,"3,460","177,050"
South Africa,"13,524",247,"6,083","421,555"
Kuwait,"12,860",96,"3,640","236,004"
Philippines,"12,305",817,"2,561","191,963"
Dominican Republic,"11,739",424,"3,557","50,108"
Egypt,"11,228",592,"2,799","135,000"
S. Korea,"11,037",262,"9,851","741,145"
Denmark,"10,791",537,"8,959","368,889"
Serbia,"10,438",225,"4,301","168,670"
Panama,"9,268",266,"6,080","47,768"
Czechia,"8,406",295,"5,381","348,849"
Norway,"8,219",232,32,"216,350"
Argentina,"7,479",356,"2,497","96,893"
Australia,"7,037",98,"6,353","1,013,615"
Malaysia,"6,855",112,"5,439","424,306"
Morocco,"6,652",190,"3,400","81,616"
Algeria,"6,629",536,"3,271","6,500"
Bahrain,"6,583",12,"2,640","222,542"
Finland,"6,228",293,"5,000","140,600"
Afghanistan,"6,053",153,745,"20,854"
Kazakhstan,"5,850",34,"2,707","505,216"
Moldova,"5,745",202,"2,228","20,447"
Ghana,"5,638",28,"1,460","171,642"
Nigeria,"5,450",171,"1,320","30,657"
Oman,"5,029",20,"1,436","61,000"
Armenia,"4,283",55,"1,791","39,005"
Luxembourg,"3,923",104,"3,682","59,987"
Bolivia,"3,577",164,434,"7,651"
Hungary,"3,473",448,"1,371","131,429"
Iraq,"3,193",117,"2,089","140,573"
Cameroon,"3,105",140,"1,567",0
Thailand,"3,025",56,"2,855","286,008"
Azerbaijan,"2,980",36,"1,886","220,363"
Greece,"2,810",160,"1,374","120,015"
Uzbekistan,"2,691",11,"2,158","460,000"
Guinea,"2,473",15,895,"10,304"
Honduras,"2,460",134,264,"5,653"
Senegal,"2,310",25,890,"24,599"
Bosnia and Herzegovina,"2,236",128,"1,336","47,149"
Croatia,"2,222",95,"1,869","51,568"
Bulgaria,"2,174",105,573,"64,480"
Ivory Coast,"2,017",24,942,"15,260"
Sudan,"1,964",91,205,0
Cuba,"1,840",79,"1,425","77,374"
Iceland,"1,802",10,"1,782","56,219"
Estonia,"1,770",63,934,"68,840"
North Macedonia,"1,740",97,"1,251","20,548"
Guatemala,"1,643",30,135,"7,200"
Lithuania,"1,534",55,988,"224,040"
New Zealand,"1,498",21,"1,428","223,937"
Slovakia,"1,493",28,"1,151","139,986"
Slovenia,"1,465",103,270,"67,701"
DRC,"1,370",61,229,0
Djibouti,"1,309",4,935,"16,878"
Somalia,"1,284",53,135,0
El Salvador,"1,265",25,441,"53,412"
Mayotte,"1,210",16,627,"5,000"
Gabon,"1,209",10,219,"7,050"
Tajikistan,"1,118",33,0,0
Kyrgyzstan,"1,117",14,783,"59,490"
